Pantone Code	RGB	Pantone Name
14-4102 TPX	198,203,204	Glacier Gray
14-4103 TPX	192,196,195	Gray Violet
14-4201 TPX	200,202,204	Lunar Rock
14-4203 TPX	189,190,191	Vapor Blue
15-4101 TPX	171,177,179	High-rise
16-4702 TPX	149,156,153	Limestone
15-0000 TPX	174,170,165	Dove
15-4502 TPX	186,179,173	Silver Cloud
16-4402 TPX	154,155,152	Drizzle
16-5803 TPX	158,157,152	Flint Gray
17-0205 TPX	144,141,135	Elephant Skin
17-1500 TPX	130,127,123	Steeple Gray
17-1506 TPX	136,124,119	Cinder
14-4503 TPX	181,191,187	Metal
14-4804 TPX	184,192,187	Blue Fox
15-4003 TPX	178,186,182	Storm Gray
15-4702 TPX	164,176,172	Puritan Gray
15-4703 TPX	161,173,170	Mirage Gray
15-4704 TPX	169,179,174	Pigeon
16-5904 TPX	149,160,154	Wrought Iron
16-3801 TPX	164,158,157	Opal Gray
17-1501 TPX	139,142,141	Wild Dove
17-4402 TPX	137,142,140	Neutral Gray
18-0000 TPX	102,104,106	Smoked Pearl
18-0306 TPX	90,93,90	Gunmetal
18-0503 TPX	102,103,102	Gargoyle
18-5105 TPX	101,109,109	Sedona Sage
14-4002 TPX	202,199,198	Wind Chime
16-0000 TPX	158,157,156	Paloma
18-0201 TPX	89,94,98	Castlerock
18-0601 TPX	106,106,106	Charcoal Gray
18-4005 TPX	106,108,112	Steel Gray
18-5203 TPX	96,98,99	Pewter
19-3908 TPX	63,62,71	Nine Iron
16-3802 TPX	161,158,157	Ash
17-0000 TPX	132,132,135	Frost Gray
17-1502 TPX	134,132,133	Cloudburst
18-0403 TPX	93,90,89	Dark Gull Gray
18-3905 TPX	97,93,101	Excalibur
19-3903 TPX	67,61,66	Shale
19-3905 TPX	88,83,88	Rabbit
17-0909 TPX	128,114,99	Fossil
18-0615 TPX	99,95,77	Stone Gray
18-0820 TPX	103,94,69	Capers
19-0618 TPX	84,75,50	Beech
19-0809 TPX	103,91,78	Chocolate Chip
19-0810 TPX	91,85,74	Major Brown
19-0820 TPX	92,82,68	Canteen
19-0405 TPX	66,65,62	Beluga
19-0506 TPX	60,62,56	Black Ink
19-0508 TPX	62,63,62	Peat
19-0608 TPX	65,61,56	Black Olive
19-0614 TPX	65,56,46	Wren
19-0822 TPX	82,77,64	Tarmac
19-5708 TPX	48,55,55	Jet Set
18-1306 TPX	110,96,93	Iron
19-0000 TPX	53,54,53	Raven
19-0812 TPX	64,57,53	Turkish Coffee
19-1101 TPX	53,48,48	After Dark
19-1102 TPX	52,49,50	Licorice
19-1111 TPX	61,52,52	Black Coffee
19-3803 TPX	92,89,91	Plum Kitten
19-0303 TPX	52,51,51	Jet Black
19-4005 TPX	46,50,56	Stretch Limo
19-4006 TPX	44,47,50	Caviar
19-4007 TPX	45,48,54	Anthracite
19-4203 TPX	46,50,53	Moonless Night
19-4205 TPX	52,55,59	Phantom
19-4305 TPX	47,52,53	Pirate Black
12-0811 TPX	240,217,188	Dawn
12-0813 TPX	241,214,180	Autumn Blonde
12-1009 TPX	246,221,203	Vanilla Cream
13-1010 TPX	236,213,184	Gray Sand
13-1014 TPX	223,194,160	Mellow Buff
14-1120 TPX	231,199,165	Apricot Illusion
14-1122 TPX	219,182,143	Sheepskin
14-1116 TPX	209,184,147	Almond Buff
14-1118 TPX	212,184,149	Beige
15-1220 TPX	196,168,127	Lattè
15-1225 TPX	205,170,127	Sand
16-1333 TPX	186,144,101	Doe
16-1334 TPX	186,153,114	Tan
17-1328 TPX	173,132,96	Indian Tan
15-1116 TPX	184,169,141	Safari
15-1213 TPX	188,166,134	Candied Ginger
15-1214 TPX	192,171,140	Warm Sand
15-1314 TPX	197,169,142	Cuban Sand
16-1212 TPX	177,159,135	Nomad
16-1310 TPX	174,146,124	Natural
16-1320 TPX	184,159,134	Nougat
13-0513 TPX	218,212,184	Frozen Dew
13-1008 TPX	221,205,181	Bleached Sand
14-1112 TPX	205,187,153	Pebble
16-0924 TPX	191,165,126	Croissant
16-1010 TPX	171,150,119	Incense
16-1315 TPX	166,147,115	Cornstalk
17-1320 TPX	167,137,106	Tannin
14-0615 TPX	203,201,164	Green Haze
15-1119 TPX	191,170,128	Taos Taupe
15-1217 TPX	198,182,148	Mojave Desert
16-1324 TPX	181,154,109	Lark
17-0935 TPX	132,109,61	Dull Gold
17-1022 TPX	154,138,104	Kelp
17-1028 TPX	147,126,87	Antique Bronze
17-1044 TPX	150,110,75	Chipmunk
17-1134 TPX	159,116,77	Brown Sugar
17-1327 TPX	150,115,83	Tobacco Brown
18-1027 TPX	102,77,59	Bison
18-1031 TPX	113,81,56	Toffee
18-1033 TPX	118,86,60	Dachshund
18-1048 TPX	113,76,48	Monk's Robe
18-1124 TPX	111,82,65	Partridge
18-1130 TPX	118,84,70	Aztec
18-1222 TPX	107,80,67	Cocoa Brown
19-1121 TPX	94,71,60	Pinecone
19-1217 TPX	105,77,66	Mustang
19-1218 TPX	88,66,57	Potting Soil
19-1230 TPX	110,73,59	Friar Brown
18-0920 TPX	113,96,71	Kangaroo
18-0928 TPX	108,87,64	Sepia
18-0930 TPX	106,85,66	Coffee Liqueúr
18-1018 TPX	124,101,76	Otter
18-1022 TPX	127,103,71	Ermine
19-0617 TPX	97,84,66	Teak
19-0815 TPX	87,70,52	Desert Palm
18-1015 TPX	113,97,81	Shitake
18-1016 TPX	104,90,72	Cub
19-0712 TPX	66,57,51	Demitasse
19-0814 TPX	71,58,47	Slate Black
19-0912 TPX	68,55,49	Chocolate Brown
19-1020 TPX	87,67,51	Dark Earth
19-1116 TPX	86,66,53	Carafe
18-1312 TPX	113,92,86	Deep Taupe
19-0915 TPX	60,50,48	Coffee Bean
19-1015 TPX	78,66,61	Bracken
19-1016 TPX	65,53,50	Java
19-1118 TPX	85,67,60	Chestnut
19-1213 TPX	82,63,59	Shopping Bag
19-1314 TPX	65,52,51	Seal Brown
12-0807 TPX	235,212,191	Sun Kiss
12-1005 TPX	233,212,191	Novelle Peach
12-1006 TPX	235,218,199	Mother of Pearl
12-1007 TPX	232,209,189	Pastel Rose Tan
13-1011 TPX	222,198,172	Ivory Cream
13-1013 TPX	228,196,167	Appleblossom
14-1210 TPX	215,195,172	Shifting Sand
12-0601 TPX	236,227,214	Eggnog
13-1106 TPX	223,207,190	Sand Dollar
13-1108 TPX	228,200,183	Cream Tan
14-1209 TPX	203,183,162	Smoke Gray
15-1215 TPX	187,166,140	Sesame
15-1308 TPX	190,174,154	Doeskin
16-1210 TPX	175,158,137	Light Taupe
16-1318 TPX	178,151,132	Warm Taupe
16-1412 TPX	164,141,127	Stucco
16-1414 TPX	162,137,116	Chanterelle
16-1415 TPX	166,141,123	Almondine
17-1319 TPX	155,131,108	Amphora
17-1321 TPX	145,117,96	Woodsmoke
17-1418 TPX	149,125,109	Ginger Snap
14-1212 TPX	209,183,161	Frappé
15-1309 TPX	193,174,156	Moonlight
15-1315 TPX	199,169,148	Rugby Tan
16-1221 TPX	179,147,127	Roebuck
17-1223 TPX	170,137,113	Praline
17-1322 TPX	160,127,102	Burro
17-1417 TPX	148,117,99	Beaver Fur
14-1213 TPX	210,178,154	Toasted Almond
16-1323 TPX	177,136,110	Macaroon
16-1327 TPX	187,131,100	Toasted Nut
16-1331 TPX	204,153,118	Toast
17-1224 TPX	173,129,102	Camel
17-1225 TPX	176,135,109	Tawny Birch
17-1226 TPX	169,131,106	Tawny Brown
12-0911 TPX	244,213,187	Nude
12-0912 TPX	248,214,184	Tender Peach
12-0913 TPX	244,208,181	Alesan
12-0915 TPX	251,209,187	Pale Peach
12-1011 TPX	243,209,185	Peach Purée
13-1114 TPX	243,201,174	Bellini
14-1217 TPX	222,185,157	Amberlight
12-1008 TPX	240,216,195	Linen
12-1010 TPX	249,216,202	Scallop Shell
12-1107 TPX	241,221,207	Pink Champagne
12-1206 TPX	233,212,202	Silver Peony
12-1209 TPX	242,220,208	Soft Pink
13-1404 TPX	239,209,198	Pale Dogwood
14-1307 TPX	207,180,168	Rose Dust
12-1404 TPX	219,204,190	Pink Tint
13-1107 TPX	222,207,194	Whisper Pink
13-1405 TPX	231,215,205	Shell
14-1311 TPX	224,185,173	Evening Sand
15-1317 TPX	194,158,133	Sirocco
16-1317 TPX	185,155,134	Brush
17-1227 TPX	169,128,106	Café au Lait
14-1310 TPX	215,183,170	Cameo Rose
14-1312 TPX	230,191,179	Pale Blush
14-1313 TPX	221,179,163	Rose Cloud
14-1314 TPX	226,189,171	Spanish Villa
15-1316 TPX	201,164,142	Maple Sugar
16-1219 TPX	192,153,133	Tuscany
16-1422 TPX	184,135,113	Cork
13-1109 TPX	235,199,178	Bisque
14-1220 TPX	231,175,143	Peach Nougat
15-1318 TPX	221,173,149	Pink Sand
15-1319 TPX	229,180,154	Almost Apricot
15-1322 TPX	208,155,129	Dusty Coral
15-1327 TPX	223,157,123	Peach Bloom
16-1220 TPX	196,149,128	Café Crème
16-1235 TPX	188,138,101	Sandstorm
16-1336 TPX	182,133,90	Biscuit
16-1341 TPX	196,143,101	Butterum
16-1432 TPX	171,120,78	Almond
17-1137 TPX	166,114,71	Cashew
17-1330 TPX	161,116,82	Lion
18-1030 TPX	145,107,83	Thrush
17-1143 TPX	174,115,78	Hazel
17-1230 TPX	163,119,98	Mocha Mousse
17-1336 TPX	168,111,73	Bran
17-1340 TPX	164,98,60	Adobe
17-1430 TPX	165,112,83	Pecan Brown
18-1142 TPX	147,86,53	Leather Brown
18-1154 TPX	147,89,49	Glazed Ginger
16-1328 TPX	199,141,107	Sandstone
16-1439 TPX	191,118,81	Caramel
17-1147 TPX	166,103,76	Amber Brown
18-1140 TPX	138,85,63	Mocha Bisque
18-1239 TPX	155,94,69	Sierra
18-1244 TPX	138,78,54	Ginger Bread
19-1241 TPX	119,75,58	Tortoise Shell
16-1332 TPX	199,131,98	Pheasant
16-1429 TPX	177,110,82	Sunburn
17-1347 TPX	176,101,75	Autumn Leaf
17-1436 TPX	184,110,83	Raw Sienna
18-1248 TPX	176,88,58	Rust
18-1250 TPX	159,82,53	Bombay Brown
18-1450 TPX	187,91,70	Mecca Orange
13-1012 TPX	205,184,160	Frosted Almond
14-1012 TPX	180,155,128	Gilded Beige
14-5002 TPX	153,155,155	Silver
15-0927 TPX	183,139,95	Pale Gold
16-0836 TPX	180,155,87	Rich Gold
16-1325 TPX	173,107,78	Copper
18-1537 TPX	164,86,65	Copper Coin
17-1422 TPX	143,110,93	Raw Umber
18-1137 TPX	133,94,75	Rawhide
18-1229 TPX	134,94,79	Carob Brown
18-1235 TPX	141,93,79	Russet
18-1314 TPX	124,96,84	Acorn
18-1320 TPX	133,94,83	Clove
18-1321 TPX	141,111,96	Brownie
18-1230 TPX	131,75,57	Coconut Shell
18-1238 TPX	135,84,69	Rustic Brown
18-1242 TPX	136,84,65	Brown Patina
18-1336 TPX	152,99,88	Copper Brown
18-1433 TPX	150,89,77	Chutney
19-1333 TPX	128,74,61	Sequoia
19-1220 TPX	101,68,60	Cappuccino
19-1228 TPX	115,78,70	Root Beer
19-1235 TPX	96,65,58	Brunette
19-1320 TPX	113,68,66	Sable
19-1430 TPX	114,76,68	Mink
19-1431 TPX	100,65,61	Fudgesickle
19-1436 TPX	106,68,62	Cinnamon
18-1326 TPX	125,92,83	Nutmeg
18-1421 TPX	136,97,89	Cognac
19-1012 TPX	89,68,64	French Roast
19-1317 TPX	80,54,54	Bitter Chocolate
19-1321 TPX	89,55,56	Rum Raisin
19-1322 TPX	89,62,62	Brown Stone
19-1420 TPX	84,59,57	Deep Mahogany
18-1425 TPX	129,74,71	Mahogany
19-1245 TPX	137,70,58	Arabian Spice
19-1325 TPX	107,65,64	Hot Chocolate
19-1327 TPX	98,58,61	Andorra
19-1331 TPX	108,58,60	Madder Brown
19-1334 TPX	127,70,63	Henna
19-1338 TPX	117,58,60	Russet Brown
11-0510 TPX	245,238,211	Afterglow
11-0617 TPX	246,238,196	Transparent Yellow
12-0715 TPX	244,225,173	Double Cream
13-0822 TPX	241,218,164	Sunlight
13-0922 TPX	227,203,145	Straw
14-0935 TPX	222,194,128	Jojoba
14-1031 TPX	213,178,110	Rattan
12-0619 TPX	213,208,156	Dusty Yellow
13-0613 TPX	220,208,172	Chino Green
13-0715 TPX	219,205,167	Sea Mist
13-0915 TPX	222,205,162	Reed Yellow
14-0925 TPX	215,199,147	Parsnip
14-1110 TPX	211,192,155	Boulder
15-0719 TPX	189,172,126	Silver Fern
12-0626 TPX	219,213,144	Lemon Grass
13-0624 TPX	215,209,144	Golden Mist
13-0725 TPX	222,202,133	Raffia
14-0740 TPX	214,180,80	Bamboo
14-0826 TPX	211,190,125	Pampas
15-0643 TPX	190,173,59	Cress Green
16-0847 TPX	173,141,48	Olive Oil
13-0640 TPX	221,209,97	Acacia
14-0626 TPX	205,188,126	Dried Moss
14-0647 TPX	211,197,77	Celery
14-0755 TPX	228,187,37	Sulphur
15-0743 TPX	197,166,70	Oil Yellow
16-0742 TPX	175,142,49	Green Sulphur
17-0839 TPX	175,141,31	Golden Palm
14-0721 TPX	197,180,127	Hemp
14-1025 TPX	204,183,123	Cocoon
15-0636 TPX	186,177,96	Golden Green
15-0730 TPX	190,169,104	Southern Moss
15-0732 TPX	196,173,99	Olivenite
16-0730 TPX	182,159,94	Antique Gold
16-0737 TPX	168,154,81	Burnished Gold
11-0616 TPX	243,230,173	Pastel Yellow
11-0618 TPX	240,238,176	Wax Yellow
11-0620 TPX	239,237,152	Elfin Yellow
11-0710 TPX	239,238,178	Tender Yellow
12-0721 TPX	242,232,154	Lemonade
12-0722 TPX	240,225,165	French Vanilla
12-0740 TPX	243,237,124	Limelight
12-0633 TPX	225,222,125	Canary Yellow
12-0738 TPX	241,219,109	Yellow Cream
13-0632 TPX	216,211,125	Endive
13-0720 TPX	234,217,139	Custard
13-0739 TPX	225,197,100	Cream Gold
14-0636 TPX	214,206,123	Muted Lime
14-0827 TPX	229,205,127	Dusky Citron
12-0642 TPX	244,223,91	Aurora
12-0643 TPX	248,231,44	Blazing Yellow
12-0752 TPX	251,227,55	Buttercup
13-0648 TPX	223,211,79	Green Sheen
13-0746 TPX	242,208,65	Maize
13-0752 TPX	245,199,26	Lemon
14-0756 TPX	246,211,0	Empire Yellow
13-0758 TPX	255,209,0	Dandelion
13-0850 TPX	255,216,88	Aspen Gold
13-0858 TPX	255,220,1	Vibrant Yellow
13-0859 TPX	255,198,0	Lemon Chrome
14-0760 TPX	255,211,0	Cyber Yellow
14-0848 TPX	239,192,80	Mimosa
14-0852 TPX	246,195,36	Freesia
12-0720 TPX	241,222,156	Mellow Yellow
12-0727 TPX	253,225,130	Sunshine
12-0736 TPX	248,217,116	Lemon Drop
12-0824 TPX	249,227,151	Pale Banana
12-0825 TPX	249,225,142	Popcorn
13-0755 TPX	243,207,85	Primrose Yellow
14-0754 TPX	232,193,63	Super Lemon
14-0837 TPX	219,185,96	Misted Yellow
15-0751 TPX	204,160,29	Lemon Curry
15-0850 TPX	212,171,49	Ceylon Yellow
15-0942 TPX	194,158,77	Sauterne
16-0946 TPX	188,147,55	Honey
16-0953 TPX	196,148,31	Tawny Olive
16-0954 TPX	188,139,31	Arrowwood
15-0948 TPX	197,150,54	Golden Spice
15-0953 TPX	204,143,28	Golden Yellow
15-1132 TPX	201,169,105	Fall Leaf
16-0948 TPX	180,136,52	Harvest Gold
16-0952 TPX	202,152,30	Nugget Gold
16-1126 TPX	171,145,92	Antelope
16-1133 TPX	178,144,81	Mustard Gold
14-1036 TPX	216,172,89	Ochre
15-1046 TPX	214,158,60	Mineral Yellow
15-1142 TPX	213,161,73	Honey Gold
16-0945 TPX	196,153,75	Tinsel
16-0947 TPX	209,161,74	Bright Gold
16-0950 TPX	198,146,65	Narcissus
16-1139 TPX	188,142,72	Amber Gold
14-1113 TPX	218,194,156	Marzipan
16-0928 TPX	188,156,105	Curry
16-1326 TPX	181,153,100	Prairie Sand
17-1047 TPX	184,142,77	Honey Mustard
17-1129 TPX	167,126,61	Wood Thrush
18-0937 TPX	129,95,52	Bronze Brown
18-0940 TPX	145,103,44	Golden Brown
17-0942 TPX	150,116,68	Medal Bronze
17-1036 TPX	146,113,65	Bistre
17-1045 TPX	174,134,87	Apple Cinnamon
17-1125 TPX	154,121,75	Dijon
17-1128 TPX	154,114,64	Bone Brown
18-0939 TPX	145,111,59	Cumin
19-1034 TPX	117,92,59	Breen
13-0840 TPX	255,218,113	Snapdragon
13-0941 TPX	255,211,114	Banana Cream
14-0846 TPX	227,176,75	Yolk Yellow
14-0850 TPX	255,200,73	Daffodil
14-0951 TPX	233,169,22	Golden Rod
14-0957 TPX	255,192,7	Spectra Yellow
15-0955 TPX	239,173,0	Old Gold
12-0826 TPX	252,219,149	Golden Haze
13-0932 TPX	238,195,116	Cornsilk
13-0939 TPX	243,188,99	Golden Cream
13-0940 TPX	250,198,104	Sunset Gold
14-0847 TPX	243,195,107	Buff Yellow
14-0936 TPX	228,195,137	Sahara Sun
14-1038 TPX	218,183,126	New Wheat
13-0935 TPX	255,203,124	Flax
13-0942 TPX	251,183,85	Amber Yellow
13-0945 TPX	255,200,100	Pale Marigold
13-1025 TPX	253,213,151	Impala
14-0941 TPX	238,169,74	Beeswax
14-1041 TPX	224,170,90	Golden Apricot
14-1045 TPX	241,174,81	Amber
13-0947 TPX	255,188,79	Banana
14-0955 TPX	255,176,37	Citrus
15-1049 TPX	233,162,59	Artisan's Gold
15-1050 TPX	222,158,54	Golden Glow
16-1054 TPX	211,144,39	Sunflower
18-0935 TPX	168,114,38	Buckthorn Brown
18-0950 TPX	154,103,52	Cathay Spice
16-0940 TPX	198,156,100	Taffy
16-1143 TPX	204,147,80	Honey Yellow
16-1144 TPX	208,157,93	Oak Buff
17-1040 TPX	191,139,69	Spruce Yellow
17-1048 TPX	189,123,39	Inca Gold
18-0933 TPX	130,97,66	Rubber
18-1160 TPX	169,109,53	Sudan Brown
12-0921 TPX	231,189,142	Golden Straw
13-1015 TPX	223,193,156	Honey Peach
13-1016 TPX	227,199,166	Wheat
13-1018 TPX	229,189,142	Desert Dust
13-1024 TPX	237,197,148	Buff
14-1127 TPX	225,181,135	Desert Mist
15-1231 TPX	213,163,114	Clay
12-0822 TPX	247,210,158	Golden Fleece
13-1027 TPX	245,191,133	Apricot Cream
13-1030 TPX	251,197,140	Sunburst
13-1031 TPX	254,210,156	Apricot Sherbet
14-1051 TPX	255,183,94	Warm Apricot
14-1128 TPX	255,190,121	Buff Orange
15-1145 TPX	247,174,98	Chamois
14-1050 TPX	255,173,74	Marigold
15-1147 TPX	224,149,64	Butterscotch
16-1140 TPX	211,139,59	Yam
16-1142 TPX	224,156,83	Golden Nugget
16-1148 TPX	207,137,67	Nugget
16-1342 TPX	211,142,79	Buckskin
17-1046 TPX	193,117,46	Golden Oak
14-1064 TPX	255,172,0	Saffron
14-1159 TPX	255,163,38	Zinnia
15-1054 TPX	241,155,35	Cadmium Yellow
15-1058 TPX	251,157,24	Radiant Yellow
15-1062 TPX	255,177,0	Gold Fusion
15-1150 TPX	230,133,21	Dark Cheddar
15-1153 TPX	242,147,46	Apricot
13-1020 TPX	255,196,157	Apricot Ice
14-1133 TPX	240,171,115	Apricot Nectar
15-1234 TPX	224,157,102	Gold Earth
15-1237 TPX	222,150,92	Apricot Tan
16-1150 TPX	211,131,61	Topaz
16-1346 TPX	202,122,66	Golden Ochre
16-1443 TPX	207,125,73	Apricot Buff
14-1135 TPX	255,177,126	Salmon Buff
14-1139 TPX	250,166,105	Pumpkin
14-1231 TPX	255,180,129	Peach Cobbler
15-1242 TPX	240,149,95	Muskmelon
15-1245 TPX	255,166,104	Mock Orange
16-1337 TPX	215,130,87	Coral Gold
16-1338 TPX	226,140,97	Copper Tan
16-1253 TPX	221,122,57	Orange Ochre
16-1255 TPX	229,118,31	Russet Orange
16-1260 TPX	210,101,55	Harvest Pumpkin
16-1350 TPX	220,121,61	Amberglow
16-1448 TPX	199,98,43	Burnt Orange
16-1454 TPX	217,109,57	Jaffa Orange
17-1353 TPX	195,101,60	Apricot Orange
15-1157 TPX	252,138,23	Flame Orange
15-1160 TPX	255,164,74	Blazing Orange
15-1164 TPX	255,141,0	Bright Marigold
15-1263 TPX	255,132,0	Autumn Glory
16-1257 TPX	243,130,53	Sun Orange
16-1356 TPX	243,116,31	Persimmon Orange
17-1350 TPX	255,119,13	Oriole
15-1247 TPX	247,146,86	Tangerine
16-1343 TPX	244,136,80	Autumn Sunset
16-1357 TPX	255,137,77	Bird of Paradise
16-1359 TPX	254,125,49	Orange Peel
16-1364 TPX	255,109,45	Vibrant Orange
16-1459 TPX	233,105,61	Mandarin Orange
16-1462 TPX	242,103,46	Golden Poppy
16-1349 TPX	242,114,69	Coral Rose
16-1360 TPX	255,136,86	Nectarine
16-1361 TPX	248,106,56	Carrot
16-1362 TPX	252,99,54	Vermillion Orange
16-1452 TPX	241,107,70	Firecracker
17-1462 TPX	244,81,44	Flame
17-1464 TPX	239,83,39	Red Orange
12-0917 TPX	254,209,176	Bleached Apricot
13-1017 TPX	245,203,169	Almond Cream
13-1019 TPX	252,199,157	Cream Blush
13-1022 TPX	245,195,154	Caramel Cream
13-1023 TPX	255,193,150	Peach Fuzz
13-1026 TPX	255,212,178	Creampuff
14-1225 TPX	250,192,154	Beach Sand
13-1021 TPX	252,193,162	Prairie Sunset
14-1224 TPX	239,172,135	Coral Sands
14-1230 TPX	249,176,134	Apricot Wash
15-1333 TPX	226,146,118	Canyon Sunset
16-1340 TPX	209,128,95	Brandied Melon
16-1435 TPX	209,119,92	Carnelian
17-1446 TPX	183,94,74	Mango
14-1227 TPX	242,173,134	Peach
15-1239 TPX	255,164,128	Cantaloupe
